Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Elastic Strain (mm/mm)
7	-6.6667	5.	6.9245	3.5601e-007
8	-3.3333	5.	5.9623	5.3272e-007
17	-6.6667	5.	0.	1.0739e-007
18	-3.3333	5.	0.	5.2533e-009
19	-3.3333	5.	11.925	5.9618e-007
20	-6.6667	5.	13.849	1.9352e-007
27	-10.	10.	7.8868	6.3446e-007
28	-10.	10.	15.774	1.1036e-006
32	-10.	10.	0.	7.547e-007
56	1.7347e-015	0.	0.	-1.6904e-006
57	1.7347e-015	5.	0.	-2.4317e-007
58	1.7347e-015	10.	0.	9.2858e-007
62	-6.6667	10.	0.	9.0853e-007
63	-3.3333	10.	0.	1.0291e-006
75	-6.6667	10.	13.849	1.2091e-006
76	-3.3333	10.	11.925	1.5319e-006
77	1.7347e-015	10.	10.	1.6568e-006
96	1.7347e-015	5.	10.	7.4532e-007
98	1.7347e-015	-1.7347e-015	10.	-3.6939e-007
100	-10.	5.	15.774	5.8043e-008
102	-10.	0.	15.774	4.6872e-008
105	-6.6667	-1.7347e-015	13.849	-9.6239e-009
106	-3.3333	-1.7347e-015	11.925	-2.1462e-007
107	-6.6667	10.	6.9245	9.4648e-007
108	-3.3333	10.	5.9623	1.5811e-006
109	1.7347e-015	10.	5.	1.8558e-006
110	-10.	5.	7.8868	2.5635e-007
111	-10.	5.	0.	8.393e-008
112	-10.	0.	7.8868	-2.6817e-007
113	-10.	0.	0.	-6.1156e-007
114	-6.6667	0.	6.9245	-4.553e-007
115	-3.3333	0.	5.9623	-8.2402e-007
116	-6.6667	0.	0.	-8.9497e-007
117	-3.3333	0.	0.	-1.3452e-006
118	1.7347e-015	0.	5.	-1.1044e-006
140	1.7347e-015	5.	5.	5.2741e-007
